entry_id	source	part_of_speech	level	status	ukrainian	official_source	source_check	data_factory_run_id	content_qa_run_id	qa_reason
ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	verified	жирний (підприємець): сміливий і впевнений; не боїться говорити про свої почуття або йти на ризик	https://www.oxfordlearnersdictionaries.com/us/definition/english/bold_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=593; definition_path=/us/definition/english/bold_1; stable_id=PASS; exact_definition='brave and confident; not afraid to say what you feel or to take risks'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'; candidate='жирний (підприємець): сміливий і впевнений; не боїться говорити про свої почуття або йти на ризик'; reverse='bold and confident; not afraid to talk about your feelings or take risks'; lexical=1.000; candidate_definition_similarity=0.706; reverse_definition_similarity=0.897; semantic=0.897; POS/language checks PASS.
ox5000-336cd82ab74183c72edd	bombing	noun	B2	verified	бомбува́ння	https://www.oxfordlearnersdictionaries.com/us/definition/english/bombing	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=596; definition_path=/us/definition/english/bombing; stable_id=PASS; exact_definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'; candidate='бомбува́ння'; reverse='bombing'; lexical=1.000; candidate_definition_similarity=0.764; reverse_definition_similarity=0.694; semantic=0.764; POS/language checks PASS.
ox5000-f36df4a285a808895f17	brick	noun	B2	verified	Цегла (нун): випалена глина, яку використовують для будівництва стін, будинків та інших будівель; окремий блок цього	https://www.oxfordlearnersdictionaries.com/us/definition/english/brick_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=648; definition_path=/us/definition/english/brick_1; stable_id=PASS; exact_definition='baked clay used for building walls, houses and other buildings; an individual block of this'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'; candidate='Цегла (нун): випалена глина, яку використовують для будівництва стін, будинків та інших будівель; окремий блок цього'; reverse='Bricks (nun): burned clay used to build walls, houses, and other buildings; separate blocks of this'; lexical=1.000; candidate_definition_similarity=0.881; reverse_definition_similarity=0.840; semantic=0.881; POS/language checks PASS.
ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	verified	короткий час	https://www.oxfordlearnersdictionaries.com/us/definition/english/briefly	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=652; definition_path=/us/definition/english/briefly; stable_id=PASS; exact_definition='for a short time'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='for a short time'; candidate='короткий час'; reverse='short time'; lexical=0.353; candidate_definition_similarity=0.879; reverse_definition_similarity=0.799; semantic=0.879; POS/language checks PASS.
ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	verified	трансляція	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadcaster	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=660; definition_path=/us/definition/english/broadcaster; stable_id=PASS; exact_definition='a person whose job is presenting or talking on television or radio programmes'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_surface_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'; candidate='трансляція'; reverse='broadcast'; lexical=1.000; candidate_definition_similarity=0.428; reverse_definition_similarity=0.512; semantic=0.512; POS/language checks PASS.
ox5000-b575091301cde0aab47c	canal	noun	B2	verified	кана́л	https://www.oxfordlearnersdictionaries.com/us/definition/english/canal	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=722; definition_path=/us/definition/english/canal; stable_id=PASS; exact_definition='a long straight passage dug in the ground and filled with water for boats and ships to travel along; a smaller passage used for carrying water to fields, crops, etc.'; selected_candidate_method=en_wiktionary_matching_pos_uk_translation	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a long straight passage dug in the ground and filled with water for boats and ships to travel along; a smaller passage used for carrying water to fields, crops, etc.'; candidate='кана́л'; reverse='canal'; lexical=1.000; candidate_definition_similarity=0.166; reverse_definition_similarity=0.448; semantic=0.448; POS/language checks PASS.
ox5000-6c90d20f57eaa3951076	candle	noun	B2	verified	свічка (ноун): кругла паличка з віском з шматком струни (що називається ґнотом) через середину, що освітлена, щоб світити, коли вона горить.	https://www.oxfordlearnersdictionaries.com/us/definition/english/candle	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=726; definition_path=/us/definition/english/candle; stable_id=PASS; exact_definition='a round stick of wax with a piece of string (called a wick ) through the middle that is lit to give light as it burns'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a round stick of wax with a piece of string (called a wick ) through the middle that is lit to give light as it burns'; candidate='свічка (ноун): кругла паличка з віском з шматком струни (що називається ґнотом) через середину, що освітлена, щоб світити, коли вона горить.'; reverse='candle (nun): A round stick with a piece of string (called a gnoth) through the middle, lit to shine when it burns.'; lexical=1.000; candidate_definition_similarity=0.807; reverse_definition_similarity=0.795; semantic=0.807; POS/language checks PASS.
ox5000-aadc5f65541eae6cccd0	carbon	noun	B2	verified	Вуглець (нуун): хімічний елемент. Вуглець міститься у всіх живих істотах, що існують у чистому стані як діамант і графіт.	https://www.oxfordlearnersdictionaries.com/us/definition/english/carbon	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=741; definition_path=/us/definition/english/carbon; stable_id=PASS; exact_definition='a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite .'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite .'; candidate='Вуглець (нуун): хімічний елемент. Вуглець міститься у всіх живих істотах, що існують у чистому стані як діамант і графіт.'; reverse='Carbon: a chemical element. Carbon is found in all living things that exist in a clean state like diamonds and graphite.'; lexical=1.000; candidate_definition_similarity=0.913; reverse_definition_similarity=0.940; semantic=0.940; POS/language checks PASS.
ox5000-2f11663a968a94ccb406	cave	noun	B2	verified	печера (нуун): велика яма на боці пагорба або скелі або під землею.	https://www.oxfordlearnersdictionaries.com/us/definition/english/cave_1	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=775; definition_path=/us/definition/english/cave_1; stable_id=PASS; exact_definition='a large hole in the side of a hill or cliff or under the ground'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='a large hole in the side of a hill or cliff or under the ground'; candidate='печера (нуун): велика яма на боці пагорба або скелі або під землею.'; reverse='Cave (nuun): A large hole on the side of a hill or of a rock or under the ground.'; lexical=1.000; candidate_definition_similarity=0.796; reverse_definition_similarity=0.784; semantic=0.796; POS/language checks PASS.
ox5000-1a9ae9f38cefadbdbe69	certainty	noun	B2	verified	певність (ніуун): стан певності	https://www.oxfordlearnersdictionaries.com/us/definition/english/certainty	MANUAL_EMERGENCY_WORK V3 exact Oxford identity; source_index=792; definition_path=/us/definition/english/certainty; stable_id=PASS; exact_definition='the state of being certain'; selected_candidate_method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='the state of being certain'; candidate='певність (ніуун): стан певності'; reverse='confidence (Nown): certainty'; lexical=1.000; candidate_definition_similarity=0.733; reverse_definition_similarity=0.640; semantic=0.733; POS/language checks PASS.
